year_id,period_id,origin,destination,period,start,end
511_2019,1,1,1,864000,2020-01-01,2020-01-11
511_2020,1,1,1,864000,2020-01-01,2020-01-11
511_2021,1,1,1,864000,2020-01-01,2020-01-11
519_2018,1,0,0,864000,2020-01-01,2020-01-11
520_2018,1,0,0,864000,2020-01-01,2020-01-11
520_2019,1,1,1,864000,2020-01-01,2020-01-11
520_2020,1,1,1,864000,2020-01-01,2020-01-11
520_2021,1,1,1,864000,2020-01-01,2020-01-11
521_2018,1,0,0,864000,2020-01-01,2020-01-11
521_2019,1,1,1,864000,2020-01-01,2020-01-11
521_2020,1,1,1,864000,2020-01-01,2020-01-11
521_2021,1,1,1,864000,2020-01-01,2020-01-11
521_2022,1,1,1,864000,2020-01-01,2020-01-11
521_2023,1,3,1,864000,2020-01-01,2020-01-11
528_2019,1,2,1,864000,2020-01-01,2020-01-11
528_2020,1,1,1,864000,2020-01-01,2020-01-11
528_2021,1,1,1,864000,2020-01-01,2020-01-11
528_2022,1,1,1,864000,2020-01-01,2020-01-11
708_2019,1,0,0,864000,2020-01-01,2020-01-11
708_2020,1,1,1,864000,2020-01-01,2020-01-11
789_2019,1,0,0,864000,2020-01-01,2020-01-11
876_2021,1,0,0,864000,2020-01-01,2020-01-11
882_2020,1,0,0,864000,2020-01-01,2020-01-11
882_2021,1,1,1,864000,2020-01-01,2020-01-11
882_2022,1,1,1,864000,2020-01-01,2020-01-11
896_2020,1,0,0,864000,2020-01-01,2020-01-11
896_2021,1,1,1,864000,2020-01-01,2020-01-11
896_2022,1,1,1,864000,2020-01-01,2020-01-11
896_2023,1,0,0,864000,2020-01-01,2020-01-11
903_2021,1,3,3,864000,2020-01-01,2020-01-11
903_2022,1,1,1,864000,2020-01-01,2020-01-11
926_2020,1,0,0,864000,2020-01-01,2020-01-11
935_2020,1,0,0,864000,2020-01-01,2020-01-11
935_2022,1,2,2,864000,2020-01-01,2020-01-11
988_2020,1,0,0,864000,2020-01-01,2020-01-11
988_2021,1,2,1,864000,2020-01-01,2020-01-11
1005_2021,1,2,2,864000,2020-01-01,2020-01-11
1005_2022,1,1,0,864000,2020-01-01,2020-01-11
1006_2020,1,0,0,864000,2020-01-01,2020-01-11
1006_2021,1,1,1,864000,2020-01-01,2020-01-11
1006_2022,1,1,1,864000,2020-01-01,2020-01-11
1006_2023,1,0,0,864000,2020-01-01,2020-01-11
1006_2024,1,0,0,864000,2020-01-01,2020-01-11
1059_2021,1,0,0,864000,2020-01-01,2020-01-11
1059_2022,1,1,1,864000,2020-01-01,2020-01-11
1059_2024,1,0,0,864000,2020-01-01,2020-01-11
1059_2025,1,1,1,864000,2020-01-01,2020-01-11
1098_2021,1,0,0,864000,2020-01-01,2020-01-11
1098_2022,1,2,2,864000,2020-01-01,2020-01-11
1103_2021,1,0,0,864000,2020-01-01,2020-01-11
1103_2022,1,1,1,864000,2020-01-01,2020-01-11
1113_2021,1,0,0,864000,2020-01-01,2020-01-11
1127_2022,1,2,2,864000,2020-01-01,2020-01-11
1132_2021,1,0,0,864000,2020-01-01,2020-01-11
1132_2022,1,2,1,864000,2020-01-01,2020-01-11
1132_2023,1,2,0,864000,2020-01-01,2020-01-11
1133_2021,1,0,0,864000,2020-01-01,2020-01-11
1133_2022,1,2,2,864000,2020-01-01,2020-01-11
1136_2021,1,0,0,864000,2020-01-01,2020-01-11
1136_2022,1,1,1,864000,2020-01-01,2020-01-11
1138_2021,1,0,0,864000,2020-01-01,2020-01-11
1138_2022,1,2,2,864000,2020-01-01,2020-01-11
1143_2021,1,0,0,864000,2020-01-01,2020-01-11
1146_2021,1,0,0,864000,2020-01-01,2020-01-11
1147_2022,1,0,0,864000,2020-01-01,2020-01-11
1147_2023,1,2,2,864000,2020-01-01,2020-01-11
1182_2022,1,0,0,864000,2020-01-01,2020-01-11
1252_2022,1,0,0,864000,2020-01-01,2020-01-11
1252_2023,1,1,1,864000,2020-01-01,2020-01-11
1252_2024,1,1,,864000,2020-01-01,2020-01-11
1254_2023,1,0,0,864000,2020-01-01,2020-01-11
1254_2024,1,0,0,864000,2020-01-01,2020-01-11
3_2017,1,4,4,864000,2020-01-01,2020-01-11
3_2018,1,2,2,864000,2020-01-01,2020-01-11
3_2019,1,2,2,864000,2020-01-01,2020-01-11
3_2020,1,2,2,864000,2020-01-01,2020-01-11
4_2016,1,0,0,864000,2020-01-01,2020-01-11
5_2016,1,0,0,864000,2020-01-01,2020-01-11
5_2017,1,4,4,864000,2020-01-01,2020-01-11
5_2018,1,2,2,864000,2020-01-01,2020-01-11
5_2019,1,2,2,864000,2020-01-01,2020-01-11
5_2020,1,2,2,864000,2020-01-01,2020-01-11
5_2021,1,2,2,864000,2020-01-01,2020-01-11
5_2022,1,2,2,864000,2020-01-01,2020-01-11
5_2023,1,2,2,864000,2020-01-01,2020-01-11
15_2016,1,0,0,864000,2020-01-01,2020-01-11
16_2016,1,0,0,864000,2020-01-01,2020-01-11
17_2017,1,3,3,864000,2020-01-01,2020-01-11
18_2016,1,0,0,864000,2020-01-01,2020-01-11
18_2018,1,3,3,864000,2020-01-01,2020-01-11
22_2016,1,0,0,864000,2020-01-01,2020-01-11
22_2017,1,2,2,864000,2020-01-01,2020-01-11
22_2018,1,2,2,864000,2020-01-01,2020-01-11
25_2016,1,0,0,864000,2020-01-01,2020-01-11
25_2017,1,2,2,864000,2020-01-01,2020-01-11
25_2018,1,2,2,864000,2020-01-01,2020-01-11
29_2016,1,0,0,864000,2020-01-01,2020-01-11
29_2017,1,3,3,864000,2020-01-01,2020-01-11
29_2018,1,3,3,864000,2020-01-01,2020-01-11
29_2019,1,3,3,864000,2020-01-01,2020-01-11
30_2016,1,0,0,864000,2020-01-01,2020-01-11
30_2017,1,2,4,864000,2020-01-01,2020-01-11
37_2016,1,0,0,864000,2020-01-01,2020-01-11
37_2017,1,2,2,864000,2020-01-01,2020-01-11
37_2018,1,2,2,864000,2020-01-01,2020-01-11
37_2019,1,4,2,864000,2020-01-01,2020-01-11
39_2016,1,0,0,864000,2020-01-01,2020-01-11
47_2016,1,0,0,864000,2020-01-01,2020-01-11
49_2016,1,0,0,864000,2020-01-01,2020-01-11
49_2017,1,2,2,864000,2020-01-01,2020-01-11
49_2018,1,2,2,864000,2020-01-01,2020-01-11
55_2017,1,3,3,864000,2020-01-01,2020-01-11
55_2018,1,3,3,864000,2020-01-01,2020-01-11
56_2017,1,3,3,864000,2020-01-01,2020-01-11
69_2016,1,0,0,864000,2020-01-01,2020-01-11
70_2016,1,0,0,864000,2020-01-01,2020-01-11
78_2016,1,0,0,864000,2020-01-01,2020-01-11
